rel.group,area,year,season,program,length,lendist
5,2,1992,4,RTTP,128,0
5,2,1992,4,RTTP,130,0
5,2,1992,4,RTTP,132,0
5,2,1992,4,RTTP,134,0
5,2,1992,4,RTTP,136,0
5,2,1992,4,RTTP,138,0
5,2,1992,4,RTTP,140,0
5,2,1992,4,RTTP,142,0
5,2,1992,4,RTTP,144,0
5,2,1992,4,RTTP,146,0
5,2,1992,4,RTTP,148,0
5,2,1992,4,RTTP,150,0
5,2,1992,4,RTTP,152,0
5,2,1992,4,RTTP,154,0
5,2,1992,4,RTTP,156,0
5,2,1992,4,RTTP,158,0
5,2,1992,4,RTTP,160,0
5,2,1992,4,RTTP,162,0
5,2,1992,4,RTTP,164,0
5,2,1992,4,RTTP,166,0
5,2,1992,4,RTTP,168,0
5,2,1992,4,RTTP,170,0
5,2,1992,4,RTTP,172,0
5,2,1992,4,RTTP,174,0
5,2,1992,4,RTTP,176,0
5,2,1992,4,RTTP,178,0
5,2,1992,4,RTTP,180,0
5,2,1992,4,RTTP,182,0
5,2,1992,4,RTTP,184,0
5,2,1992,4,RTTP,186,0
5,2,1992,4,RTTP,188,0
5,2,1992,4,RTTP,190,0
5,2,1992,4,RTTP,192,0
5,2,1992,4,RTTP,194,0
5,2,1992,4,RTTP,196,0
5,2,1992,4,RTTP,198,0
6,3,1989,4,RTTP,10,0
6,3,1989,4,RTTP,12,0
6,3,1989,4,RTTP,14,0
6,3,1989,4,RTTP,16,0
6,3,1989,4,RTTP,18,0
6,3,1989,4,RTTP,20,0
6,3,1989,4,RTTP,22,0
6,3,1989,4,RTTP,24,0
6,3,1989,4,RTTP,26,0.799003956061773
6,3,1989,4,RTTP,28,0
6,3,1989,4,RTTP,30,0
6,3,1989,4,RTTP,32,0.799003956061773
6,3,1989,4,RTTP,34,3.99501978030886
6,3,1989,4,RTTP,36,3.19601582424709
6,3,1989,4,RTTP,38,4.79402373637064
6,3,1989,4,RTTP,40,2.39701186818532
6,3,1989,4,RTTP,42,0
6,3,1989,4,RTTP,44,0
6,3,1989,4,RTTP,46,5.59302769243241
6,3,1989,4,RTTP,48,1.59800791212355
6,3,1989,4,RTTP,50,0
6,3,1989,4,RTTP,52,0
6,3,1989,4,RTTP,54,0
6,3,1989,4,RTTP,56,0
6,3,1989,4,RTTP,58,0
6,3,1989,4,RTTP,60,0
6,3,1989,4,RTTP,62,0
6,3,1989,4,RTTP,64,0
6,3,1989,4,RTTP,66,0
6,3,1989,4,RTTP,68,0
6,3,1989,4,RTTP,70,0
6,3,1989,4,RTTP,72,0
6,3,1989,4,RTTP,74,0
6,3,1989,4,RTTP,76,0
6,3,1989,4,RTTP,78,0
6,3,1989,4,RTTP,80,0
6,3,1989,4,RTTP,82,0
6,3,1989,4,RTTP,84,0
6,3,1989,4,RTTP,86,0
6,3,1989,4,RTTP,88,0
6,3,1989,4,RTTP,90,0
6,3,1989,4,RTTP,92,0
6,3,1989,4,RTTP,94,0
6,3,1989,4,RTTP,96,0
6,3,1989,4,RTTP,98,0
6,3,1989,4,RTTP,100,0
6,3,1989,4,RTTP,102,0
6,3,1989,4,RTTP,104,0
6,3,1989,4,RTTP,106,0
6,3,1989,4,RTTP,108,0
6,3,1989,4,RTTP,110,0
6,3,1989,4,RTTP,112,0
6,3,1989,4,RTTP,114,0
6,3,1989,4,RTTP,116,0
6,3,1989,4,RTTP,118,0
6,3,1989,4,RTTP,120,0
6,3,1989,4,RTTP,122,0
6,3,1989,4,RTTP,124,0
6,3,1989,4,RTTP,126,0
6,3,1989,4,RTTP,128,0
6,3,1989,4,RTTP,130,0
6,3,1989,4,RTTP,132,0
6,3,1989,4,RTTP,134,0
6,3,1989,4,RTTP,136,0
6,3,1989,4,RTTP,138,0
6,3,1989,4,RTTP,140,0
6,3,1989,4,RTTP,142,0
6,3,1989,4,RTTP,144,0
6,3,1989,4,RTTP,146,0
6,3,1989,4,RTTP,148,0
6,3,1989,4,RTTP,150,0
6,3,1989,4,RTTP,152,0
6,3,1989,4,RTTP,154,0
6,3,1989,4,RTTP,156,0
6,3,1989,4,RTTP,158,0
6,3,1989,4,RTTP,160,0
6,3,1989,4,RTTP,162,0
6,3,1989,4,RTTP,164,0
6,3,1989,4,RTTP,166,0
6,3,1989,4,RTTP,168,0
6,3,1989,4,RTTP,170,0
6,3,1989,4,RTTP,172,0
6,3,1989,4,RTTP,174,0
6,3,1989,4,RTTP,176,0
6,3,1989,4,RTTP,178,0
6,3,1989,4,RTTP,180,0
6,3,1989,4,RTTP,182,0
6,3,1989,4,RTTP,184,0
6,3,1989,4,RTTP,186,0
6,3,1989,4,RTTP,188,0
6,3,1989,4,RTTP,190,0
6,3,1989,4,RTTP,192,0
6,3,1989,4,RTTP,194,0
6,3,1989,4,RTTP,196,0
6,3,1989,4,RTTP,198,0
7,3,1990,1,RTTP,10,0
7,3,1990,1,RTTP,12,0
7,3,1990,1,RTTP,14,0
7,3,1990,1,RTTP,16,0
7,3,1990,1,RTTP,18,0
7,3,1990,1,RTTP,20,0
7,3,1990,1,RTTP,22,0
7,3,1990,1,RTTP,24,0
7,3,1990,1,RTTP,26,0
7,3,1990,1,RTTP,28,0
7,3,1990,1,RTTP,30,0
7,3,1990,1,RTTP,32,2.47090673955522
7,3,1990,1,RTTP,34,3.70636010933284
7,3,1990,1,RTTP,36,1.85318005466642
7,3,1990,1,RTTP,38,4.94181347911045
7,3,1990,1,RTTP,40,8.03044690355448
7,3,1990,1,RTTP,42,8.64817358844328
7,3,1990,1,RTTP,44,14.2077137524425
7,3,1990,1,RTTP,46,23.4736140257746
7,3,1990,1,RTTP,48,91.4235493635433
7,3,1990,1,RTTP,50,77.2158356111007
7,3,1990,1,RTTP,52,11.1190803279985
7,3,1990,1,RTTP,54,2.47090673955522
7,3,1990,1,RTTP,56,0.617726684888806
7,3,1990,1,RTTP,58,1.23545336977761
7,3,1990,1,RTTP,60,0
7,3,1990,1,RTTP,62,0
7,3,1990,1,RTTP,64,0
7,3,1990,1,RTTP,66,0
7,3,1990,1,RTTP,68,0.617726684888806
7,3,1990,1,RTTP,70,6.17726684888806
7,3,1990,1,RTTP,72,2.47090673955522
7,3,1990,1,RTTP,74,3.70636010933284
7,3,1990,1,RTTP,76,1.23545336977761
7,3,1990,1,RTTP,78,0
7,3,1990,1,RTTP,80,0
7,3,1990,1,RTTP,82,0
7,3,1990,1,RTTP,84,0
7,3,1990,1,RTTP,86,0
7,3,1990,1,RTTP,88,0
7,3,1990,1,RTTP,90,0
