year,area,age,f
1960,3,37,0.015673588
1960,3,38,0.015673588
1960,3,39,0.015673588
1960,3,40,0.015673588
1961,3,1,7.785302e-11
1961,3,2,7.785302e-11
1961,3,3,0.00032005576
1961,3,4,0.0006545076
1961,3,5,0.0025072
1961,3,6,0.007864351
1961,3,7,0.014697902
1961,3,8,0.020480688
1961,3,9,0.026139672
1961,3,10,0.034566992
1961,3,11,0.04911129
1961,3,12,0.06978388
1961,3,13,0.09370538
1961,3,14,0.11545745
1961,3,15,0.12904896
1961,3,16,0.13085858
1961,3,17,0.12130722
1961,3,18,0.10537109
1961,3,19,0.08856991
1961,3,20,0.07363061
1961,3,21,0.06138307
1961,3,22,0.05174467
1961,3,23,0.04430772
1961,3,24,0.038615676
1961,3,25,0.034267227
1961,3,26,0.030941521
1961,3,27,0.028392801
1961,3,28,0.026436352
1961,3,29,0.024934119
1961,3,30,0.023782726
1961,3,31,0.02290427
1961,3,32,0.022239518
1961,3,33,0.021742975
1961,3,34,0.02137933
1961,3,35,0.021120898
1961,3,36,0.020945772
1961,3,37,0.020836475
1961,3,38,0.020836475
1961,3,39,0.020836475
1961,3,40,0.020836475
1962,3,1,5.919618e-11
1962,3,2,5.919618e-11
1962,3,3,0.00023969721
1962,3,4,0.00049324667
1962,3,5,0.0019210966
1962,3,6,0.00616426
1962,3,7,0.011756175
1962,3,8,0.016583369
1962,3,9,0.021214983
1962,3,10,0.027869983
1962,3,11,0.03910642
1962,3,12,0.05478253
1962,3,13,0.07258284
1962,3,14,0.08841552
1962,3,15,0.09791571
1962,3,16,0.09857273
1962,3,17,0.0908681
1962,3,18,0.07859333
1962,3,19,0.06584686
1962,3,20,0.05460479
1962,3,21,0.045435926
1962,3,22,0.038246009
1962,3,23,0.032712492
1962,3,24,0.028485308
1962,3,25,0.025260556
1962,3,26,0.022796942
1962,3,27,0.020910491
1962,3,28,0.019463358
1962,3,29,0.018352762
1962,3,30,0.017501879
1962,3,31,0.016852899
1962,3,32,0.016361915
1962,3,33,0.015995239
1962,3,34,0.015726742
1962,3,35,0.015535948
1962,3,36,0.015406668
1962,3,37,0.015325989
1962,3,38,0.015325989
1962,3,39,0.015325989
1962,3,40,0.015325989
1963,3,1,7.9281203e-11
1963,3,2,7.9281203e-11
1963,3,3,0.00032785458
1963,3,4,0.00066883879
1963,3,5,0.0025454371
1963,3,6,0.0079114269
1963,3,7,0.014661784
1963,3,8,0.02032407
1963,3,9,0.025913713
1963,3,10,0.034365424
1963,3,11,0.049082996
1963,3,12,0.070157198
1963,3,13,0.09472219
1963,3,14,0.11724549
1963,3,15,0.1315257
1963,3,16,0.13374717
1963,3,17,0.12425349
1963,3,18,0.10810804
1963,3,19,0.090983658
1963,3,20,0.075708607
1963,3,21,0.06316072
1963,3,22,0.053272457
1963,3,23,0.045635224
1963,3,24,0.039785669
1963,3,25,0.035314457
1963,3,26,0.031893446
1963,3,27,0.029270856
1963,3,28,0.027257201
1963,3,29,0.025710748
1963,3,30,0.024525283
1963,3,31,0.023620726
1963,3,32,0.02293616
1963,3,33,0.022424781
1963,3,34,0.022050251
1963,3,35,0.021784073
1963,3,36,0.02160369
1963,3,37,0.021491111
1963,3,38,0.021491111
1963,3,39,0.021491111
1963,3,40,0.021491111
1964,3,1,5.073643e-11
