year,area,stage,f
2024,2,adult,0.714841795387445
1952,3,adult,0.0141750165740616
1953,3,adult,0.0278496226512977
1954,3,adult,0.00746242234804825
1955,3,adult,0.0158061431418722
1956,3,adult,0.0163452679914425
1957,3,adult,0.0459885760356756
1958,3,adult,0.0411833327148625
1959,3,adult,0.0370613495928999
1960,3,adult,0.0360196158399017
1961,3,adult,0.0479347209803331
1962,3,adult,0.0359112651805279
1963,3,adult,0.0490965184574847
1964,3,adult,0.0314872734100372
1965,3,adult,0.0481407372338286
1966,3,adult,0.0498299944092242
1967,3,adult,0.0360193124583528
1968,3,adult,0.0379134242558549
1969,3,adult,0.0513958845458323
1970,3,adult,0.0273935564295889
1971,3,adult,0.0380200652730057
1972,3,adult,0.0819367543844126
1973,3,adult,0.0385089301692657
1974,3,adult,0.0571513853646892
1975,3,adult,0.070420492201064
1976,3,adult,0.0669385153309446
1977,3,adult,0.101452762110617
1978,3,adult,0.0581388101925816
1979,3,adult,0.0902582774295741
1980,3,adult,0.109921043071704
1981,3,adult,0.0726676672029663
1982,3,adult,0.113320680681828
1983,3,adult,0.0958791964328612
1984,3,adult,0.0916594991323459
1985,3,adult,0.0961493852046928
1986,3,adult,0.0794874218924783
1987,3,adult,0.124649044937381
1988,3,adult,0.0889580875278609
1989,3,adult,0.114282893547506
1990,3,adult,0.179285866116449
1991,3,adult,0.108700124552401
1992,3,adult,0.181164013185984
1993,3,adult,0.149504778228542
1994,3,adult,0.223340158296285
1995,3,adult,0.173374942188197
1996,3,adult,0.127301998119932
1997,3,adult,0.157842909329033
1998,3,adult,0.201724726899
1999,3,adult,0.250020687706401
2000,3,adult,0.202288279334168
2001,3,adult,0.188966306774323
2002,3,adult,0.295721597917542
2003,3,adult,0.226200555717324
2004,3,adult,0.317173741295853
2005,3,adult,0.270623526630595
2006,3,adult,0.27571572906562
2007,3,adult,0.276860987805278
2008,3,adult,0.190932925694545
2009,3,adult,0.251719756802322
2010,3,adult,0.214028018149053
2011,3,adult,0.293182205477983
2012,3,adult,0.288901907676756
2013,3,adult,0.226597580178374
2014,3,adult,0.303457859081233
2015,3,adult,0.263999529016647
2016,3,adult,0.196041249579454
2017,3,adult,0.212240001773709
2018,3,adult,0.262929777537994
2019,3,adult,0.250796196003115
2020,3,adult,0.213743394420191
2021,3,adult,0.220688614274201
2022,3,adult,0.198768542071775
2023,3,adult,0.187528024554973
2024,3,adult,0.274548373165502
1952,4,adult,0.0206933993911602
1953,4,adult,0.012000438098241
1954,4,adult,0.00518187278877654
1955,4,adult,0.0129647151237285
1956,4,adult,0.0218392745250415
1957,4,adult,0.0193049720191664
1958,4,adult,0.0485241916150296
1959,4,adult,0.0256095952741561
1960,4,adult,0.0410268303662675
1961,4,adult,0.0829961438787675
1962,4,adult,0.0558362597283133
1963,4,adult,0.0858520857635273
1964,4,adult,0.0819163854676292
1965,4,adult,0.060147305119613
1966,4,adult,0.0475322087865998
1967,4,adult,0.0521269506649268
1968,4,adult,0.0400131592975138
1969,4,adult,0.058787643457849
1970,4,adult,0.0443089419392285
1971,4,adult,0.0554556048161593
1972,4,adult,0.0730049282565098
1973,4,adult,0.0433548533694498
1974,4,adult,0.0445014310695419
1975,4,adult,0.130508385280512
1976,4,adult,0.139924413085541
1977,4,adult,0.150166084877072
1978,4,adult,0.0785549871520193
1979,4,adult,0.159884712748285
1980,4,adult,0.155645158255243
1981,4,adult,0.0762867244401585
1982,4,adult,0.157431558593017
1983,4,adult,0.126911510617079
1984,4,adult,0.169148440064059
1985,4,adult,0.202612737563796
1986,4,adult,0.0957431601076538
1987,4,adult,0.222990216598972
1988,4,adult,0.127187013150059
1989,4,adult,0.112761234901746
1990,4,adult,0.172590584959188
1991,4,adult,0.0853130123718211
1992,4,adult,0.176767889601637
1993,4,adult,0.178835619825858
1994,4,adult,0.324842955738566
1995,4,adult,0.185036677800183
1996,4,adult,0.127373815337935
1997,4,adult,0.190429332293802
1998,4,adult,0.319429745378587
1999,4,adult,0.194781059685028
2000,4,adult,0.269824879850819
2001,4,adult,0.172760943064546
2002,4,adult,0.444912112865705
2003,4,adult,0.242827173045788
2004,4,adult,0.843720416753109
2005,4,adult,0.392450276785191
2006,4,adult,0.46269454904341
2007,4,adult,0.448842619384097
2008,4,adult,0.421750631521313
2009,4,adult,0.464977315074169
2010,4,adult,0.535588159428572
2011,4,adult,0.465113163596275
2012,4,adult,0.426530933899694
2013,4,adult,0.36334753368292
2014,4,adult,0.50413847920647
2015,4,adult,0.464758607024189
2016,4,adult,0.352073933184483
2017,4,adult,0.186633319626906
2018,4,adult,0.318088510207329
2019,4,adult,0.398828954652847
2020,4,adult,0.23397456022395
