year,season,area,sb
1999,2,4,79283
2000,2,4,78230
2001,2,4,71813
2002,2,4,62064
2003,2,4,48525
2004,2,4,54985
2005,2,4,39115
2006,2,4,45711
2007,2,4,45495
2008,2,4,46756
2009,2,4,42608
2010,2,4,30009
2011,2,4,29756
2012,2,4,35046
2013,2,4,35662
2014,2,4,32039
2015,2,4,30875
2016,2,4,32995
2017,2,4,35197
2018,2,4,37221
2019,2,4,30513
2020,2,4,29905
2021,2,4,35841
2022,2,4,38550
2023,2,4,34195
2024,2,4,23863
1952,3,4,184340
1953,3,4,181490
1954,3,4,180520
1955,3,4,181640
1956,3,4,183360
1957,3,4,193980
1958,3,4,187380
1959,3,4,172670
1960,3,4,155710
1961,3,4,143390
1962,3,4,139220
1963,3,4,132190
1964,3,4,123500
1965,3,4,125220
1966,3,4,130090
1967,3,4,127710
1968,3,4,128890
1969,3,4,135320
1970,3,4,133160
1971,3,4,131250
1972,3,4,130690
1973,3,4,118190
1974,3,4,108130
1975,3,4,104470
1976,3,4,94170
1977,3,4,90834
1978,3,4,95760
1979,3,4,92406
1980,3,4,87001
1981,3,4,81334
1982,3,4,79323
1983,3,4,80321
1984,3,4,89385
1985,3,4,89175
1986,3,4,87673
1987,3,4,81838
1988,3,4,75881
1989,3,4,77302
1990,3,4,84755
1991,3,4,85009
1992,3,4,78680
1993,3,4,74573
1994,3,4,72674
1995,3,4,67393
1996,3,4,79776
1997,3,4,96238
1998,3,4,89207
1999,3,4,86098
2000,3,4,84394
2001,3,4,74499
2002,3,4,63800
2003,3,4,55859
2004,3,4,54368
2005,3,4,46086
2006,3,4,51476
2007,3,4,50008
2008,3,4,54437
2009,3,4,45093
2010,3,4,31779
2011,3,4,34554
2012,3,4,39364
2013,3,4,39129
2014,3,4,34695
2015,3,4,37167
2016,3,4,38614
2017,3,4,41943
2018,3,4,42227
2019,3,4,35530
2020,3,4,35814
2021,3,4,41850
2022,3,4,42581
2023,3,4,35928
2024,3,4,25611
1952,4,4,174950
1953,4,4,171630
1954,4,4,171170
1955,4,4,172150
1956,4,4,176480
1957,4,4,184440
1958,4,4,174300
1959,4,4,160370
1960,4,4,144640
1961,4,4,132040
1962,4,4,130670
1963,4,4,123400
1964,4,4,117680
1965,4,4,119950
1966,4,4,125350
1967,4,4,120310
1968,4,4,127910
1969,4,4,131110
1970,4,4,128080
1971,4,4,127640
1972,4,4,122830
1973,4,4,111740
1974,4,4,102920
1975,4,4,99372
1976,4,4,87932
1977,4,4,89403
1978,4,4,91502
1979,4,4,87376
1980,4,4,80569
1981,4,4,76655
1982,4,4,75641
1983,4,4,79888
1984,4,4,86929
1985,4,4,84452
1986,4,4,83217
1987,4,4,74298
1988,4,4,71919
1989,4,4,75019
1990,4,4,80545
1991,4,4,80910
1992,4,4,73631
1993,4,4,67700
1994,4,4,64400
1995,4,4,66754
1996,4,4,82279
1997,4,4,93248
1998,4,4,85607
1999,4,4,83078
2000,4,4,80085
2001,4,4,70055
2002,4,4,57126
2003,4,4,56609
2004,4,4,43826
2005,4,4,45664
2006,4,4,49766
2007,4,4,46506
2008,4,4,51426
2009,4,4,39399
2010,4,4,28872
2011,4,4,34379
2012,4,4,38157
2013,4,4,35653
2014,4,4,33293
2015,4,4,35130
2016,4,4,37844
2017,4,4,40992
2018,4,4,39260
2019,4,4,31423
2020,4,4,35227
2021,4,4,40990
2022,4,4,40527
2023,4,4,31269
2024,4,4,23290
1952,1,5,175850
1953,1,5,175180
1954,1,5,179650
1955,1,5,180360
1956,1,5,174980
1957,1,5,177300
1958,1,5,196220
1959,1,5,196400
1960,1,5,179390
1961,1,5,165390
1962,1,5,155700
1963,1,5,148510
1964,1,5,141220
1965,1,5,133900
1966,1,5,128080
1967,1,5,123320
1968,1,5,117490
1969,1,5,116660
1970,1,5,114440
1971,1,5,111190
1972,1,5,114600
1973,1,5,117080
1974,1,5,108890
1975,1,5,110460
1976,1,5,116240
1977,1,5,111340
1978,1,5,113780
1979,1,5,112030
1980,1,5,109140
1981,1,5,100830
1982,1,5,93054
1983,1,5,94639
1984,1,5,101080
1985,1,5,109400
1986,1,5,109870
1987,1,5,112200
1988,1,5,116080
1989,1,5,111730
1990,1,5,115460
1991,1,5,125030
1992,1,5,134770
1993,1,5,134680
1994,1,5,135680
1995,1,5,136780
1996,1,5,124710
1997,1,5,132240
1998,1,5,135320
1999,1,5,128800
2000,1,5,116830
2001,1,5,112860
2002,1,5,105260
2003,1,5,110290
2004,1,5,108730
2005,1,5,108120
2006,1,5,98550
2007,1,5,107210
2008,1,5,107450
2009,1,5,98972
2010,1,5,92970
2011,1,5,90035
2012,1,5,88691
2013,1,5,81546
2014,1,5,82040
2015,1,5,88240
2016,1,5,89486
2017,1,5,81482
2018,1,5,75149
2019,1,5,69854
2020,1,5,67203
2021,1,5,68768
2022,1,5,78441
2023,1,5,79352
2024,1,5,75429
1952,2,5,177710
1953,2,5,185010
1954,2,5,188550
1955,2,5,188590
1956,2,5,182550
1957,2,5,191950
1958,2,5,207720
1959,2,5,202710
1960,2,5,182770
1961,2,5,171550
1962,2,5,160280
1963,2,5,154800
1964,2,5,145580
1965,2,5,138960
1966,2,5,134120
1967,2,5,128600
1968,2,5,122620
1969,2,5,122620
1970,2,5,119830
1971,2,5,117050
1972,2,5,122620
1973,2,5,121190
1974,2,5,113280
1975,2,5,117840
1976,2,5,120880
1977,2,5,116400
1978,2,5,118990
1979,2,5,116550
1980,2,5,113400
1981,2,5,102780
1982,2,5,97135
1983,2,5,100230
1984,2,5,108240
1985,2,5,115280
1986,2,5,113840
1987,2,5,118790
1988,2,5,120130
1989,2,5,115120
1990,2,5,123470
1991,2,5,131710
1992,2,5,140690
1993,2,5,136750
1994,2,5,141250
1995,2,5,137220
1996,2,5,127210
1997,2,5,139620
1998,2,5,139170
1999,2,5,129670
