year,season,fishery,area,catch
2002,1,23,2,101.3
2003,1,23,2,100.748
2004,1,23,2,135.843
2005,1,23,2,177.914
2006,1,23,2,178.419
2007,1,23,2,183.97
2008,1,23,2,169.426
2009,1,23,2,173.439
2010,1,23,2,159.162
2011,1,23,2,182.344
2012,1,23,2,156.945
2013,1,23,2,150.625
2014,1,23,2,265.766
2015,1,23,2,216.073
2016,1,23,2,478.712
2017,1,23,2,328.175
2018,1,23,2,266.57
2019,1,23,2,104.589
2020,1,23,2,80.397
2021,1,23,2,101.179
2022,1,23,2,58.762
2023,1,23,2,66.79
2024,1,23,2,14.619
1952,1,24,3,0
1953,1,24,3,0
1954,1,24,3,0
1955,1,24,3,0
1956,1,24,3,0
1957,1,24,3,0
1958,1,24,3,0
1959,1,24,3,0
1960,1,24,3,0
1961,1,24,3,0
1962,1,24,3,0
1963,1,24,3,0
1964,1,24,3,0
1965,1,24,3,0
1966,1,24,3,0
1967,1,24,3,0
1968,1,24,3,0
1969,1,24,3,0
1970,1,24,3,0
1971,1,24,3,0
1972,1,24,3,190.2
1973,1,24,3,164.22
1974,1,24,3,109.7
1975,1,24,3,110.3
1976,1,24,3,29.3
1977,1,24,3,91.76
1978,1,24,3,165.18
1979,1,24,3,24.25
1980,1,24,3,183.2
1981,1,24,3,72.9
1982,1,24,3,139.9
1983,1,24,3,113.9
1984,1,24,3,63.3
1985,1,24,3,89.1
1986,1,24,3,104.8
1987,1,24,3,64
1988,1,24,3,66.7
1989,1,24,3,31.7
1990,1,24,3,80.1
1991,1,24,3,0
1992,1,24,3,20
1993,1,24,3,3.5
1994,1,24,3,19
1995,1,24,3,16.4
1996,1,24,3,1
1997,1,24,3,2.8
1998,1,24,3,11
1999,1,24,3,2
2000,1,24,3,1.2
2001,1,24,3,1
2002,1,24,3,0
2003,1,24,3,31.3
2004,1,24,3,28.5
2005,1,24,3,1.5
2006,1,24,3,39.5
2007,1,24,3,0
2008,1,24,3,28.5
2009,1,24,3,8.6
2010,1,24,3,0
2011,1,24,3,10
2012,1,24,3,4.4
2013,1,24,3,45.5
2014,1,24,3,13.8
2015,1,24,3,1.7
2016,1,24,3,0
2017,1,24,3,1
2018,1,24,3,0
